name,country,state,rank,tuition,intlRate,type,schoolSize,strengths,gptSummary,logoUrl,acceptanceRate,satRange,actRange,gpaRange,applicationDeadline,website,supports_ed,supports_ea,supports_rd,has_internship_program,has_research_program,internship_support_score,personality_types,tags
Princeton University,USA,New Jersey,1,65210,0.12,private,small,"['humanities', 'public policy', 'economics', 'law', 'social sciences']",普林斯顿大学是常春藤盟校之一，以严谨的学术氛围和对本科教育的高度重视而闻名。学校在人文学科、公共政策和社会科学领域具有极高声誉，同时在自然科学和工程学科方面也有强大实力。普林斯顿校友在政界、学术界和商界均有深远影响。,,0.04,1510-1580,34-35,3.90-4.00,2025-01-01,https://www.princeton.edu,False,True,True,True,False,8,"['学术明星型', '全能型']","['academic_competitions', 'recommendation_letter_support', 'career_center_support', 'undergrad_research']"
Massachusetts Institute of Technology,USA,Massachusetts,2,64310,0.12,private,medium,"['engineering', 'computer science', 'physics', 'natural sciences', 'chemistry']",麻省理工学院是全球最顶尖的理工科大学之一，以工程学、计算机科学、人工智能和物理学著称。MIT的科研实力极强，注重理论与实践结合，孕育了众多科技企业和创新项目。其UROP本科科研项目为学生提供宝贵研究经验，校友多为全球科技创业先锋。,,0.046,1510-1570,34-36,3.90-4.00,2025-01-01,https://web.mit.edu,False,True,True,True,False,10,"['探究型', '实践型']","['career_center_support', 'academic_competitions', 'recommendation_letter_support', 'student_government_support']"
Harvard University,USA,Massachusetts,3,57328,0.154,private,medium,"['law', 'business', 'humanities', 'economics', 'public policy']",哈佛大学是世界知名的常春藤盟校，也是历史最悠久的美国高等学府之一。学校在法律、商学、公共政策和医学等领域具有卓越影响力，科研资金雄厚，师资力量强大。哈佛培养了众多诺贝尔奖得主、国家元首与行业领袖，校友网络遍布全球各界。,,0.036,1510-1580,34-36,3.90-4.00,2025-01-01,https://www.harvard.edu,False,True,True,True,False,9,"['学术明星型', '全能型']","['academic_competitions', 'recommendation_letter_support', 'career_center_support', 'undergrad_research']"
Stanford University,USA,California,4,67731,0.13,private,medium,"['computer science', 'business', 'engineering', 'law', 'entrepreneurship']",斯坦福大学位于硅谷核心地带，是全球创新和创业的中心之一。学校以计算机科学、商学院和工程学科著称，与高科技企业联系紧密，科研成果丰硕。斯坦福在培养企业家和学术领袖方面成绩卓著，校友在科技、投资与公共政策领域影响力极大。,,0.04,1510-1570,34-35,3.90-4.00,2025-01-05,https://www.stanford.edu,False,True,True,True,False,10,"['实践型', '探究型']","['academic_competitions', 'recommendation_letter_support', 'career_center_support', 'undergrad_research']"
Yale University,USA,Connecticut,5,69900,0.22,private,medium,"['humanities', 'law', 'social sciences', 'public policy', 'arts']",耶鲁大学是常春藤盟校之一，以人文学科、法学院和公共事务研究见长。学校重视跨学科研究和社会责任培养，其艺术、音乐和戏剧专业在国际上享有盛誉。耶鲁图书馆和学术资源丰富，本科教育氛围浓厚，培养了众多政治家、法学家和文化名人。,,0.046,1500-1560,34-35,3.90-4.00,2025-01-02,https://www.yale.edu,False,True,True,True,False,8,"['学术明星型', '艺术型']","['academic_competitions', 'recommendation_letter_support', 'career_center_support', 'undergrad_research']"
California Institute of Technology,USA,California,6,65622,0.12,private,small,"['physics', 'engineering', 'chemistry', 'computer science', 'natural sciences']",加州理工学院是一所规模小而精的理工科顶尖学府，以物理、天文学、化学和工程科研见长。其科研成果世界领先，人均诺贝尔奖得主比例极高。Caltech强调小班教学与个性化科研指导，本科生有广泛机会参与前沿实验室项目。,,0.03,1530-1560,35-36,3.90-4.00,2025-01-03,https://www.caltech.edu,False,True,True,False,False,7,"['探究型', '学术明星型']","['academic_competitions', 'recommendation_letter_support', 'undergrad_research', 'student_government_support']"
Duke University,USA,North Carolina,6,70265,0.1,private,medium,"['public health', 'medicine', 'public policy', 'law', 'business']",杜克大学位于北卡罗来纳州，以医学、公共政策、法学和商学院著称。学校在科研和体育方面均有突出表现，篮球队享誉全美。本科教育重视跨学科和国际化，学生有丰富的科研与实习机会。杜克校友在学术界、医疗健康和商业领域贡献显著。,,0.048,1510-1570,34-35,3.85-3.98,2025-01-02,https://www.duke.edu,True,False,True,True,False,8,"['全能型', '社交型']","['recommendation_letter_support', 'career_center_support', 'academic_competitions', 'student_government_support']"
Johns Hopkins University,USA,Maryland,6,66670,0.14,private,medium,"['medicine', 'public health', 'biology', 'international relations', 'engineering']",约翰斯·霍普金斯大学以医学、公共卫生和国际关系研究著名，是科研经费全美最高的学校之一。作为美国第一所研究型大学，它开创了科研与教学相结合的模式。本科生可广泛参与实验室项目，医学院和公共卫生学院享有世界声誉。,,0.06,1530-1560,34-35,3.85-3.98,2025-01-02,https://www.jhu.edu,True,False,True,True,False,9,"['学术明星型', '探究型']","['recommendation_letter_support', 'career_center_support', 'academic_competitions', 'undergrad_research']"
Northwestern University,USA,Illinois,6,67158,0.1,private,medium,"['economics', 'law', 'arts', 'business', 'social sciences']",西北大学位于芝加哥郊区，以新闻学院、商学院和工程学院著称。学校兼具文科与理科优势，科研成果突出，校园内拥有活跃的艺术氛围。西北大学注重跨学科培养，提供丰富的实习与就业资源，其新闻传媒和表演艺术项目在全美极具影响力。,,0.07,1500-1560,34-35,3.85-3.98,2025-01-02,https://www.northwestern.edu,True,False,True,True,False,9,"['艺术型', '社交型']","['career_center_support', 'recommendation_letter_support', 'academic_competitions', 'undergrad_research']"
University of Pennsylvania,USA,Pennsylvania,10,60920,0.13,private,medium,"['business', 'law', 'economics', 'medicine', 'social sciences']",宾夕法尼亚大学是常春藤盟校之一，以沃顿商学院的全球影响力而著称，同时在医学、法律、工程和公共政策领域均处于领先地位。UPenn强调跨学科教育和科研实践，本科生有机会参与前沿项目。校友群体遍布政商学界，社会影响巨大。,,0.049,1500-1570,34-35,3.85-3.98,2025-01-05,https://www.upenn.edu,True,False,True,True,False,9,"['全能型', '实践型']","['recommendation_letter_support', 'career_center_support', 'academic_competitions', 'undergrad_research']"
